room	start	duration	status
corridor	2024-11-16 20:24:37	8.0	Emergency
entrance	2024-11-16 20:24:45	4.0	Emergency
corridor	2024-11-16 20:24:49	9.0	Emergency
entrance	2024-11-16 20:24:58	0.0	Normal
corridor	2024-11-16 20:25:05	0.0	Normal
entrance	2024-11-16 20:25:05	0.0	Normal
corridor	2024-11-16 20:25:10	0.0	Normal
entrance	2024-11-16 20:25:10	0.0	Normal
corridor	2024-11-16 20:25:22	0.0	Normal
entrance	2024-11-16 20:25:22	0.0	Normal
corridor	2024-11-16 20:25:28	0.0	Normal
entrance	2024-11-16 20:25:28	0.0	Normal
corridor	2024-11-16 20:25:38	0.0	Normal
entrance	2024-11-16 20:25:38	0.0	Normal
corridor	2024-11-16 20:26:07	0.0	Normal
entrance	2024-11-16 20:26:07	8.0	Emergency
corridor	2024-11-16 20:26:15	11.0	Emergency
entrance	2024-11-16 20:26:26	5.0	Emergency
corridor	2024-11-16 20:26:31	0.0	Normal
entrance	2024-11-16 20:26:45	0.0	Normal
corridor	2024-11-16 20:26:45	37.0	Emergency
entrance	2024-11-16 20:27:22	0.0	Normal
corridor	2024-11-16 20:27:57	0.0	Normal
entrance	2024-11-16 20:27:57	16.0	Emergency
corridor	2024-11-16 20:28:13	0.0	Normal
entrance	2024-11-16 20:28:22	0.0	Normal
corridor	2024-11-16 20:28:22	0.0	Normal
entrance	2024-11-16 20:28:37	0.0	Normal
corridor	2024-11-16 20:28:37	0.0	Normal
entrance	2024-11-16 20:28:53	0.0	Normal
corridor	2024-11-16 20:28:53	0.0	Normal
entrance	2024-11-16 20:29:08	0.0	Normal
corridor	2024-11-16 20:29:08	0.0	Normal
entrance	2024-11-16 20:29:23	0.0	Normal
corridor	2024-11-16 20:29:23	0.0	Normal
entrance	2024-11-16 20:29:52	0.0	Normal
corridor	2024-11-16 20:29:52	14.0	Emergency
entrance	2024-11-16 20:30:06	0.0	Normal
corridor	2024-11-16 20:30:23	0.0	Normal
entrance	2024-11-16 20:30:23	14.0	Emergency
corridor	2024-11-16 20:30:37	0.0	Normal
entrance	2024-11-16 20:30:45	0.0	Normal
corridor	2024-11-16 20:30:45	26.0	Emergency
entrance	2024-11-16 20:31:11	9.0	Emergency
corridor	2024-11-16 20:31:20	22.0	Emergency
entrance	2024-11-16 20:31:42	0.0	Normal
corridor	2024-11-16 20:31:56	0.0	Normal
entrance	2024-11-16 20:31:56	0.0	Normal
corridor	2024-11-16 20:32:06	0.0	Normal
entrance	2024-11-16 20:32:06	0.0	Normal
